# Input,ChemicalName,ChemicalId,CasRN,GeneSymbol,GeneId,Organism,OrganismId,PubMedIds
13463-67-7,titanium dioxide,C009495,13463-67-7,JPH3,57338,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JPH4,84502,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JPT2,90861,Mus musculus,10090,23557971|29264374
13463-67-7,titanium dioxide,C009495,13463-67-7,JPX,554203,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JTB,10899,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JUB,32351,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JUN,3725,Homo sapiens,9606,30098274
13463-67-7,titanium dioxide,C009495,13463-67-7,JUN,3725,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JUNB,3726,Mus musculus,10090,23557971|27760801|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JUND,3727,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,JUNOS,230451,Mus musculus,10090,29264374
13463-67-7,titanium dioxide,C009495,13463-67-7,JUP,3728,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KALRN,8997,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,KANK1,23189,Mus musculus,10090,23557971|35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KANK2,25959,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KANK3,256949,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KANSL1L,151050,Mus musculus,10090,29264374
13463-67-7,titanium dioxide,C009495,13463-67-7,KANSL3,55683,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,KAT14,57325,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KAT2A,2648,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KAT2B,8850,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KAT5,10524,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KAT6A,7994,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KAT6B,23522,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KATNA1,11104,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KATNAL1,84056,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KATNAL2,83473,Mus musculus,10090,23557971
13463-67-7,titanium dioxide,C009495,13463-67-7,KATNB1,10300,Mus musculus,10090,35295148
13463-67-7,titanium dioxide,C009495,13463-67-7,KATNBL1,79768,Mus musculus,10090,29264374
