# Input,GeneSymbol,GoTermID
mapk3,MAPK3,"GO:0009887, GO:0006915, GO:0019369, GO:0060020, GO:0030509, GO:0007420, GO:0061308, GO:0051216, GO:0072584, GO:0034198, GO:0071276, GO:0006974, GO:0071260, GO:0034614, GO:0097237, GO:0071356, GO:0021952, GO:0043009, GO:1904888, GO:0046697, GO:0006351, GO:0007173, GO:0038133, GO:0070371, GO:0001654, GO:0060324, GO:0048009, GO:0008286, GO:0070498, GO:0035556, GO:0007254, GO:0031663, GO:0060425, GO:0000165, GO:0050804, GO:0042552, GO:2000657, GO:1904262, GO:0014032, GO:0042473, GO:0018105, GO:0038083, GO:0016310, GO:0031281, GO:0070374, GO:0010759, GO:0120041, GO:1904355, GO:0032206, GO:0032212, GO:0045944, GO:0045727, GO:1904417, GO:0046777, GO:0065003, GO:0006468, GO:0030641, GO:0051493, GO:0051090, GO:2000641, GO:0090170, GO:0033043, GO:0030278, GO:0032872, GO:0034097, GO:0070849, GO:0043330, GO:0032496, GO:0009636, GO:0014044, GO:0019233, GO:0007165, GO:0042770, GO:0051403, GO:0048538, GO:0030878, GO:0002224, GO:0060440, GO:0098792"
mapk8,MAPK8,"GO:0097190, GO:0034198, GO:1904646, GO:0071216, GO:0071276, GO:0070301, GO:0071347, GO:0071222, GO:0071260, GO:0071732, GO:0034599, GO:0090650, GO:0034614, GO:0090398, GO:0060242, GO:0048813, GO:0048263, GO:0097009, GO:0038095, GO:0034349, GO:0007229, GO:0007254, GO:0007258, GO:0050804, GO:0043066, GO:0032091, GO:0097150, GO:0048666, GO:0001764, GO:0031175, GO:0001503, GO:0018105, GO:0018107, GO:0043065, GO:2001235, GO:0010666, GO:0031343, GO:0030335, GO:0031281, GO:2000017, GO:0045740, GO:1903749, GO:0010628, GO:0034352, GO:0031116, GO:0002052, GO:0043525, GO:2001224, GO:1900227, GO:0071803, GO:0032436, GO:0051247, GO:0031398, GO:0097300, GO:0061833, GO:0006468, GO:0046605, GO:0042752, GO:1904809, GO:0006355, GO:0010468, GO:0016241, GO:0045664, GO:0032880, GO:0046686, GO:0042542, GO:0009612, GO:0006979, GO:0048545, GO:0009411, GO:0048511, GO:0060395, GO:0051403, GO:0097050"
mapk8ip1,MAPK8IP1,"GO:0007254, GO:0007258, GO:0000165, GO:0043066, GO:2001243, GO:0046329, GO:0043508, GO:0046330, GO:2000564, GO:0006355, GO:0046328, GO:0007165, GO:0016192"
mapt,MAPT,"GO:0007628, GO:1990000, GO:0048143, GO:0008088, GO:0098930, GO:0019896, GO:0061564, GO:0048675, GO:0007409, GO:0007267, GO:1990416, GO:0006974, GO:0034605, GO:1990090, GO:0034614, GO:0021954, GO:0031122, GO:0007565, GO:0048699, GO:0048312, GO:0046907, GO:0008631, GO:0007611, GO:0007613, GO:0001774, GO:0007017, GO:0000226, GO:0046785, GO:0047497, GO:0051028, GO:1903748, GO:0010629, GO:0032387, GO:0033673, GO:0090258, GO:0010917, GO:1904428, GO:1902988, GO:0030182, GO:0001764, GO:0031175, GO:0072386, GO:0045773, GO:1900454, GO:0031116, GO:0010976, GO:1903829, GO:1902474, GO:0032930, GO:0051260, GO:0051258, GO:0010506, GO:0050848, GO:1900034, GO:0033044, GO:1900452, GO:0060632, GO:0070507, GO:0031113, GO:0031110, GO:0090140, GO:0048167, GO:0010288, GO:0007584, GO:0016072, GO:0034063, GO:0097435, GO:0007416, GO:0050808"
mbp,MBP,"GO:0008366, GO:0007417, GO:0007268, GO:0006955, GO:0035633, GO:0000165, GO:0061024, GO:0042552, GO:0050771, GO:0034115, GO:2000343, GO:0032755, GO:1904685, GO:0070542, GO:0046689, GO:0032570, GO:0009636, GO:0034612, GO:0007605, GO:0021762"
mc4r,MC4R,"GO:0007189, GO:0007188, GO:0002024, GO:0097009, GO:0006112, GO:0007631, GO:0007186, GO:0030073, GO:2000252, GO:0045780, GO:1903998, GO:0060259, GO:2000821, GO:0040008, GO:0019222, GO:1903925, GO:0032094, GO:0032868, GO:1990680, GO:0007165"
mccc1,MCCC1,"GO:0006768, GO:0009083, GO:0019752, GO:0006552, GO:0018216"
mdh1,MDH1,"GO:0006094, GO:0046166, GO:0043490, GO:0006108, GO:0006734, GO:0019674, GO:0006739, GO:0006107, GO:0006099"
mdm2,MDM2,"GO:1990000, GO:0006915, GO:0003283, GO:0003181, GO:0001568, GO:0001974, GO:0060411, GO:0007049, GO:0072717, GO:0071312, GO:0071236, GO:0071391, GO:0071480, GO:0071363, GO:0070301, GO:0071456, GO:0071375, GO:0071494, GO:0071301, GO:0030330, GO:0003203, GO:0045184, GO:0072537, GO:0007507, GO:0003170, GO:0043066, GO:2001234, GO:0043518, GO:0045892, GO:1904036, GO:0010629, GO:1902254, GO:0010977, GO:0010955, GO:1901797, GO:0000122, GO:0045787, GO:0008284, GO:0010628, GO:0045931, GO:0051149, GO:0032436, GO:0046827, GO:1904754, GO:1904707, GO:0035775, GO:0043161, GO:0051865, GO:0065003, GO:0031648, GO:0034504, GO:0000209, GO:0016925, GO:0016567, GO:0051603, GO:0065008, GO:0051726, GO:0010468, GO:0002027, GO:0099149, GO:0042176, GO:0099576, GO:0031647, GO:0046677, GO:0042220, GO:0045472, GO:1904404, GO:0010039, GO:0032026, GO:0048545, GO:0009636, GO:1990785, GO:0009410, GO:0010165, GO:0007089, GO:0006511, GO:0003281"
me1,ME1,"GO:0005975, GO:0006108, GO:0006734, GO:0006739, GO:0009165, GO:0051289, GO:0006090, GO:1902031, GO:0009743, GO:0009725"
mecp2,MECP2,"GO:0008344, GO:0008306, GO:0061564, GO:0060385, GO:0001662, GO:0006576, GO:0007420, GO:0032048, GO:0050432, GO:0008283, GO:0071317, GO:0035865, GO:0021549, GO:0021987, GO:0007268, GO:0016358, GO:0009790, GO:0040029, GO:0060079, GO:0010467, GO:0071514, GO:0014009, GO:0008211, GO:0006541, GO:0031507, GO:0021766, GO:0044027, GO:0006954, GO:0006020, GO:0007612, GO:0007626, GO:0007616, GO:0060291, GO:0048286, GO:0007613, GO:0033555, GO:0016525, GO:0048712, GO:0043537, GO:1903860, GO:0061000, GO:0045892, GO:0010629, GO:0090327, GO:0043524, GO:2000635, GO:1903941, GO:0051151, GO:0000122, GO:0001976, GO:0007528, GO:0050905, GO:0050884, GO:0030182, GO:0042551, GO:0031175, GO:0007219, GO:0021772, GO:0014003, GO:0048709, GO:0046470, GO:1901953, GO:1905492, GO:1903861, GO:0060999, GO:0045893, GO:0010628, GO:0060252, GO:0090063, GO:1901956, GO:0031915, GO:0045944, GO:0009791, GO:0099054, GO:0021740, GO:0019230, GO:0008104, GO:0099611, GO:0010468, GO:0045664, GO:0002087, GO:0050807, GO:0048167, GO:0006357, GO:0007585, GO:0097305, GO:1903925, GO:0042220, GO:0032355, GO:0001666, GO:0010212, GO:0010288, GO:0051707, GO:0019233, GO:0050975, GO:0035176, GO:0021510, GO:0001964, GO:0021756, GO:0007416, GO:0021794, GO:0099191, GO:0003229, GO:0021591, GO:0008542"
med1,MED1,"GO:0006702, GO:0001525, GO:0009887, GO:0031100, GO:0007420, GO:0043010, GO:0000902, GO:0071364, GO:0035729, GO:0071383, GO:0097067, GO:0035050, GO:0035162, GO:0035116, GO:0001892, GO:0048822, GO:0060750, GO:0048821, GO:0045444, GO:0045023, GO:0007507, GO:0060218, GO:0030518, GO:0001701, GO:0030216, GO:0007595, GO:0002088, GO:0001889, GO:0060745, GO:0060744, GO:0033598, GO:0035855, GO:0030224, GO:0042789, GO:0007275, GO:0043066, GO:0010839, GO:0045665, GO:0000122, GO:0035357, GO:0008284, GO:0045893, GO:0045648, GO:0070318, GO:0010628, GO:2000347, GO:0033148, GO:0045618, GO:0045944, GO:0032968, GO:0060261, GO:0060335, GO:0006606, GO:0016567, GO:0006355, GO:2001141, GO:0006357, GO:0070562, GO:0003406, GO:0051123, GO:0006590, GO:0002154, GO:0006366, GO:0003222"
meg3,MEG3,"GO:0071456, GO:0006325, GO:0008340, GO:0071514, GO:0001701, GO:0001889, GO:0048286, GO:0035195, GO:0035264, GO:0030308, GO:0009791, GO:0044726, GO:0007519"
metrnl,METRNL,"GO:0050873, GO:0097009, GO:0045444, GO:0050728, GO:0090336, GO:0009409, GO:0014850, GO:0007165"
mettl14,METTL14,"GO:0030154, GO:0030237, GO:0021861, GO:0042063, GO:0061157, GO:0016556, GO:0006397, GO:0000398, GO:0048255, GO:1901533, GO:0045727, GO:0000381, GO:0045664, GO:0031667, GO:0001510, GO:0007283, GO:0019827"
mgll,MGLL,"GO:0046464, GO:0006639, GO:0019369, GO:0006633, GO:0006954, GO:0006629, GO:0060292, GO:0052651, GO:0045907, GO:0006508, GO:0030516, GO:2000124, GO:0050727, GO:0099178, GO:0051930, GO:0009966, GO:0019433"
mgmt,MGMT,"GO:0006974, GO:0071479, GO:0034599, GO:0006307, GO:0006259, GO:0006281, GO:0060644, GO:0032259, GO:0043066, GO:0045739, GO:2000781, GO:0045471, GO:0051593, GO:0009636, GO:0009410"
mical2,MICAL2,"GO:0030042, GO:0007010, GO:0007507, GO:0001947, GO:0045944, GO:0019417"
micu1,MICU1,"GO:0007615, GO:0036444, GO:0070509, GO:0006816, GO:0071277, GO:0072732, GO:0006952, GO:0072375, GO:0051560, GO:0006851, GO:0006811, GO:1903852, GO:0051561, GO:0051260, GO:1900069"
mif,MIF,"GO:0060117, GO:0002035, GO:0043010, GO:0019752, GO:0008283, GO:0007166, GO:0070301, GO:0071456, GO:0090398, GO:0030330, GO:0042756, GO:0048598, GO:0001942, GO:0006954, GO:0045087, GO:0048839, GO:0043066, GO:0030336, GO:2000773, GO:0043518, GO:0010629, GO:1902166, GO:0010760, GO:0002906, GO:0033033, GO:0051248, GO:0050918, GO:0002675, GO:0002821, GO:0090238, GO:0048680, GO:0030890, GO:0008284, GO:2000343, GO:0001819, GO:0070374, GO:0048146, GO:0046326, GO:0045821, GO:0050778, GO:0031666, GO:0043406, GO:0061081, GO:0033138, GO:0050731, GO:0042327, GO:0043268, GO:0061078, GO:0010739, GO:0001934, GO:0014911, GO:0032760, GO:0001516, GO:0070207, GO:0042127, GO:0043030, GO:0006357, GO:0032355, GO:0051384, GO:0009725, GO:0032868, GO:0032496, GO:0009612, GO:0032572, GO:0032570, GO:0033197, GO:0009410, GO:0007165, GO:0043588, GO:0007283"
minpp1,MINPP1,"GO:0030282, GO:0030003, GO:0043647, GO:0001503, GO:0048015, GO:0008033, GO:0002100"
mir106a,MIR106A,"GO:0001783, GO:0036294, GO:1904322, GO:1990830, GO:0060291, GO:0035195, GO:0035278, GO:0035279, GO:0042985, GO:0043066, GO:0002903, GO:0030514, GO:0032682, GO:0010629, GO:0032693, GO:0032717, GO:0045668, GO:0030512, GO:1904046, GO:0045600, GO:0010628, GO:0009617, GO:0009611"
mir10a,MIR10A,"GO:0071361, GO:1904322, GO:0071222, GO:0035195, GO:0016525, GO:0110059, GO:0043537, GO:0110023, GO:0007162, GO:1902807, GO:1903769, GO:1903589, GO:0030335, GO:0090050, GO:2000774, GO:0030949, GO:0009617, GO:0070482, GO:0002040"
mir10b,MIR10B,"GO:0071361, GO:1904322, GO:0035195, GO:0035278, GO:1903589, GO:0090050, GO:0010884, GO:0030949, GO:0070482"
mir1249,MIR1249,GO:0035195
mir127,MIR127,"GO:1990830, GO:0001892, GO:0040029, GO:0060711, GO:0060291, GO:0035195, GO:2000752, GO:0070482"
mir1306,MIR1306,GO:0035195
mir130a,MIR130A,"GO:0071230, GO:1904322, GO:0071333, GO:0071560, GO:0098586, GO:0060218, GO:0060291, GO:0035195, GO:0035279, GO:0010633, GO:0010719, GO:0043031, GO:0060392, GO:0010804, GO:0032720, GO:0001503, GO:0045766, GO:0010628, GO:0032816, GO:1904707, GO:1905564, GO:0061178, GO:0060390, GO:1904187, GO:0007605"
mir132,MIR132,"GO:1904322, GO:0042632, GO:0055089, GO:0060291, GO:0035195, GO:0035278, GO:0043537, GO:1900408, GO:0010629, GO:1901299, GO:0032691, GO:0032715, GO:0032717, GO:2001243, GO:0043524, GO:1901223, GO:1902083, GO:0031393, GO:0032720, GO:1905563, GO:0001503, GO:0045766, GO:1903589, GO:0090050, GO:0008284, GO:2000353, GO:0010628, GO:1905564, GO:0010575, GO:0045765, GO:0050773, GO:0014041, GO:0070482"
mir141,MIR141,"GO:0035195, GO:0035278, GO:0050728, GO:1904995, GO:0045746, GO:1904188, GO:0043584, GO:0021889, GO:0008284, GO:0007605"
mir143,MIR143,"GO:0030036, GO:0038166, GO:0060414, GO:0060947, GO:0071391, GO:0071456, GO:0071260, GO:0071356, GO:0007566, GO:0044663, GO:0010467, GO:0071425, GO:0035195, GO:0035278, GO:0016525, GO:0045599, GO:0046325, GO:0046627, GO:0051898, GO:0048662, GO:1904179, GO:0045766, GO:0043536, GO:0002053, GO:1905111, GO:0045944, GO:1904754, GO:0010906, GO:1900239, GO:0048660, GO:0006940, GO:0002931, GO:0014850, GO:0007179"
mir144,MIR144,"GO:0042632, GO:0060216, GO:0030218, GO:0010467, GO:0046661, GO:0035195, GO:0035278, GO:0006402, GO:0061157, GO:0042985, GO:0090370, GO:0043433, GO:0010719, GO:0010629, GO:0010561, GO:1903063, GO:0060355, GO:0010886, GO:0010628, GO:0010983, GO:0050729, GO:0032731, GO:0032755, GO:0032760, GO:0060319, GO:0060215, GO:0090107, GO:0010725, GO:0009617, GO:0001944"
mir146a,MIR146A,"GO:1904646, GO:0071345, GO:0036294, GO:0071391, GO:0071333, GO:0071456, GO:1990830, GO:0071222, GO:0140052, GO:0098586, GO:0007249, GO:0045087, GO:0070498, GO:0035195, GO:0035278, GO:0035279, GO:0030099, GO:0002573, GO:0016525, GO:2001234, GO:0060354, GO:0090051, GO:2000342, GO:0010887, GO:1900016, GO:0035305, GO:0001937, GO:0010629, GO:0060253, GO:0043124, GO:0050728, GO:0070104, GO:0032715, GO:0032717, GO:1902532, GO:1904995, GO:1904465, GO:1905709, GO:2000438, GO:0051898, GO:0046426, GO:0060392, GO:0034144, GO:1904046, GO:0043065, GO:0120132, GO:1903589, GO:0090050, GO:2000774, GO:0045743, GO:0010628, GO:0045666, GO:1904754, GO:1904707, GO:0031099, GO:0010468, GO:2000736, GO:0034121, GO:0140459, GO:0070482, GO:0007605"
mir148a,MIR148A,"GO:0071391, GO:0071356, GO:0042632, GO:0055088, GO:0035195, GO:0035278, GO:0090370, GO:0010985, GO:0140076, GO:0010989, GO:1905596, GO:0009617, GO:0007605"
mir149,MIR149,"GO:0044344, GO:0071354, GO:1990830, GO:0060291, GO:0035195, GO:0035279, GO:1903588, GO:0030336, GO:0090051, GO:0008285, GO:2000545, GO:0010719, GO:0040037, GO:0050728, GO:0032715, GO:1901223, GO:1904893, GO:0051497, GO:0034144, GO:0032720, GO:0032967, GO:0032916, GO:0007605"
mir152,MIR152,"GO:0071361, GO:1990830, GO:0035195, GO:0043537, GO:0090272, GO:0048147, GO:1904684, GO:0010804, GO:1905563, GO:0007605"
mir15b,MIR15B,"GO:0001569, GO:0003300, GO:0071230, GO:0036294, GO:0050966, GO:0035195, GO:0035278, GO:1902430, GO:1902992, GO:0016525, GO:0043537, GO:1903588, GO:0008285, GO:1900077, GO:2000134, GO:0045719, GO:0043124, GO:0050728, GO:0046627, GO:0045930, GO:0043524, GO:1901223, GO:0030512, GO:1901164, GO:1905064, GO:1905563, GO:1904046, GO:0061045, GO:0001503, GO:0043065, GO:1905205, GO:0045727, GO:0009617, GO:0070482"
mir17,MIR17,"GO:0001783, GO:0036294, GO:1904322, GO:0071456, GO:0071222, GO:0001701, GO:0060291, GO:0030324, GO:0035195, GO:0035278, GO:0060586, GO:0042985, GO:1905101, GO:0043066, GO:2000773, GO:0032682, GO:0070373, GO:0010629, GO:1901299, GO:2001243, GO:0010989, GO:1902109, GO:0045668, GO:1905601, GO:1903671, GO:0003085, GO:0034122, GO:0030512, GO:0032410, GO:1905460, GO:1904046, GO:0003151, GO:0043065, GO:0045777, GO:0010666, GO:1903244, GO:1904598, GO:1900017, GO:0001938, GO:0045600, GO:0048146, GO:0010628, GO:1901300, GO:1904685, GO:0050766, GO:1905111, GO:1905149, GO:1904707, GO:0002329, GO:0009617, GO:0009611, GO:0007605, GO:0021522, GO:0060412"
mir181c,MIR181C,"GO:1990830, GO:0071222, GO:0060218, GO:0060291, GO:0001774, GO:0035195, GO:0035278, GO:0035279, GO:0046007, GO:0061889, GO:0050728, GO:0032700, GO:0032690, GO:0032703, GO:0032716, GO:0043524, GO:1901646, GO:0050868, GO:0060390, GO:0031047, GO:0007605"
mir185,MIR185,"GO:0071397, GO:1990830, GO:0042632, GO:0035195, GO:0035279, GO:0016525, GO:0050869, GO:0030889, GO:0030336, GO:0045541, GO:0070373, GO:0045717, GO:0010629, GO:0010987, GO:0010989, GO:1905601, GO:2001024, GO:0106108, GO:0009968, GO:0034763, GO:0032720, GO:1904706, GO:1905700, GO:0010744, GO:0060390"
mir188,MIR188,"GO:0048539, GO:0035195, GO:0001503, GO:0045598, GO:0010468, GO:0045667"
mir190a,MIR190A,"GO:1990830, GO:0035195"
mir193a,MIR193A,"GO:0071230, GO:0006974, GO:0071222, GO:0046661, GO:0035195, GO:0035279, GO:0016525, GO:0043537, GO:1903588, GO:0090051, GO:2000134, GO:1905563"
mir193b,MIR193B,"GO:1990830, GO:0060218, GO:0035195, GO:0001503, GO:0007605"
mir19a,MIR19A,"GO:0042113, GO:0001783, GO:0071221, GO:0001701, GO:0060291, GO:0030324, GO:0035195, GO:0035279, GO:0043066, GO:0062044, GO:0010667, GO:1903845, GO:1901202, GO:0010764, GO:0010629, GO:0050728, GO:0002862, GO:0032715, GO:1904465, GO:1902176, GO:1903671, GO:0034122, GO:0030512, GO:0050861, GO:0061051, GO:0002329, GO:1903779, GO:0021522, GO:0060412"
mir200b,MIR200B,"GO:0071230, GO:1990830, GO:0030317, GO:0097376, GO:0035195, GO:0035278, GO:0035279, GO:0016525, GO:0043066, GO:0043537, GO:2000726, GO:0060044, GO:0010629, GO:0150128, GO:0010832, GO:0034144, GO:0061044, GO:0043584, GO:0021889, GO:0043065, GO:0008284, GO:0006612, GO:0043113, GO:0051726, GO:0009617, GO:0009651, GO:0007605, GO:0055078, GO:0061195, GO:0016055"
mir203,MIR203,"GO:0071230, GO:0060576, GO:0035195, GO:0007605, GO:0048864"
mir21,MIR21,"GO:0001568, GO:0030509, GO:1904385, GO:0036294, GO:0071549, GO:0071480, GO:0071333, GO:0097011, GO:0070301, GO:0071354, GO:0071479, GO:1990830, GO:0071222, GO:0071260, GO:0034614, GO:1904639, GO:0071560, GO:0098586, GO:0032963, GO:0007566, GO:0061154, GO:0060940, GO:0007565, GO:0002437, GO:0035195, GO:0035278, GO:0016525, GO:1904830, GO:0043066, GO:1900082, GO:0010667, GO:0010614, GO:0061037, GO:0030336, GO:0008285, GO:1902731, GO:0001960, GO:0010596, GO:0001937, GO:1905955, GO:0070373, GO:2000270, GO:0010629, GO:1903944, GO:1901299, GO:1904827, GO:0045824, GO:0032695, GO:2000660, GO:0032705, GO:1902254, GO:0043409, GO:0045930, GO:1904521, GO:0043524, GO:0032088, GO:1901223, GO:0035021, GO:1903427, GO:0045590, GO:0035024, GO:0034392, GO:0051497, GO:0000122, GO:0060339, GO:0032480, GO:1905460, GO:1904753, GO:0036166, GO:0042104, GO:0045766, GO:0043065, GO:1903589, GO:0010613, GO:0030307, GO:0030335, GO:0008284, GO:0031346, GO:1900039, GO:0032967, GO:0001819, GO:1900017, GO:2000353, GO:0045603, GO:0010595, GO:1905956, GO:0010718, GO:0070374, GO:0045600, GO:0010628, GO:0050729, GO:0106016, GO:0010838, GO:1904996, GO:1904762, GO:1900227, GO:0045669, GO:1903766, GO:0051897, GO:0001934, GO:1904728, GO:2000321, GO:2000318, GO:0030511, GO:0032729, GO:1905065, GO:1904754, GO:1904707, GO:1904695, GO:1905564, GO:1900748, GO:0090303, GO:1902514, GO:0030334, GO:0008360, GO:0042058, GO:1903053, GO:0010468, GO:2000739, GO:0051896, GO:2000377, GO:0009617, GO:0001666, GO:0014850, GO:0070482, GO:1990009"
mir210,MIR210,"GO:0030509, GO:0070301, GO:0071456, GO:1990830, GO:0071222, GO:0097411, GO:0035195, GO:0035278, GO:0035279, GO:0043011, GO:1904233, GO:0032926, GO:2001234, GO:0030514, GO:0010667, GO:0001818, GO:1902957, GO:0010977, GO:1905460, GO:0045766, GO:2001235, GO:0043536, GO:0030335, GO:1904025, GO:1904440, GO:0043525, GO:0045669, GO:0010665, GO:1900037, GO:0001666, GO:0002931, GO:0035148"
mir22,MIR22,"GO:0071230, GO:0071234, GO:0060291, GO:0035195, GO:0090051, GO:0001937, GO:0060546, GO:0001503, GO:2000774, GO:0050729, GO:0051152, GO:0007605"
mir23a,MIR23A,"GO:0008344, GO:0030509, GO:0061049, GO:0071392, GO:0071234, GO:0035924, GO:0060291, GO:0035195, GO:0035279, GO:0008285, GO:1903597, GO:0010629, GO:0045668, GO:0060392, GO:0043116, GO:0001503, GO:0045766, GO:0043065, GO:1903589, GO:0090050, GO:0070374, GO:1902046, GO:0160020, GO:0010628, GO:0032731, GO:0032755, GO:0031643, GO:0048714, GO:0032760, GO:0048597, GO:0035129, GO:0010468, GO:2001260, GO:0061298, GO:0007605"
mir23b,MIR23B,"GO:0071222, GO:0060291, GO:0035195, GO:0042552, GO:0001503, GO:0045766, GO:0010468, GO:2001260, GO:0061298, GO:0007605"
mir26b,MIR26B,"GO:0071363, GO:0071222, GO:0051607, GO:0060291, GO:0035195, GO:0035278, GO:0035279, GO:0032682, GO:0050687, GO:2000134, GO:0032688, GO:0001933, GO:0060392, GO:2001235, GO:0045787, GO:0009617, GO:0070482, GO:0009611"
mir27a,MIR27A,"GO:0071333, GO:1990830, GO:0071222, GO:0071234, GO:0071560, GO:0071356, GO:0035924, GO:0007595, GO:0035195, GO:0035278, GO:0035279, GO:0090370, GO:1905919, GO:0045599, GO:0010629, GO:2000660, GO:1900131, GO:0010989, GO:1905598, GO:0032088, GO:0060392, GO:0050868, GO:0038061, GO:0001503, GO:0045766, GO:0043065, GO:1903589, GO:0090050, GO:0070374, GO:1902046, GO:0010628, GO:0045669, GO:1904707, GO:1905564, GO:0010468, GO:2001260, GO:0014850, GO:0061298"
mir27b,MIR27B,"GO:1904322, GO:1990830, GO:0035924, GO:0042632, GO:0035195, GO:0035278, GO:0035279, GO:0042552, GO:1904178, GO:0060354, GO:0090370, GO:1905919, GO:1901202, GO:0045599, GO:0010629, GO:0032691, GO:1900131, GO:0051055, GO:0010989, GO:1905596, GO:0032769, GO:1904761, GO:1901223, GO:0051001, GO:1905601, GO:0030512, GO:0010804, GO:0038061, GO:0045766, GO:1903589, GO:0106090, GO:0090050, GO:0071864, GO:0070374, GO:1901203, GO:0010628, GO:2001244, GO:0061766, GO:1905111, GO:0032760, GO:1904707, GO:0045765, GO:0010468, GO:2001260, GO:0090322, GO:1990776, GO:0009617, GO:0014850, GO:0061298, GO:0050779, GO:0007605, GO:0060841, GO:0016055"
mir29a,MIR29A,"GO:1990830, GO:0071222, GO:0040029, GO:0060291, GO:0035195, GO:0035278, GO:1902430, GO:1902992, GO:0016525, GO:0030336, GO:0008285, GO:0061754, GO:0032966, GO:2000134, GO:0010629, GO:0051898, GO:0045879, GO:0045766, GO:0043065, GO:0030335, GO:0010595, GO:0045742, GO:1900087, GO:0010628, GO:1902110, GO:0051897, GO:1905564, GO:0090303, GO:0007605, GO:0048771, GO:0042311"
mir326,MIR326,"GO:0001837, GO:0035195, GO:0035279, GO:1905700, GO:2000321, GO:0010468, GO:0032355, GO:0007605"
mir335,MIR335,"GO:1990830, GO:0035195, GO:0030336, GO:0008285, GO:0032956, GO:0070482"
mir339,MIR339,"GO:0071361, GO:0044344, GO:1990830, GO:0035195, GO:1902430, GO:0010951, GO:1904706"
mir342,MIR342,"GO:0071230, GO:1904322, GO:1990830, GO:0071222, GO:0060291, GO:0035195, GO:0035279, GO:1903588, GO:0045541, GO:0045717, GO:0030512, GO:1900747, GO:0001503, GO:0043536, GO:0062000, GO:0007605"
mir345,MIR345,"GO:1990830, GO:0071222, GO:0060291, GO:0035195, GO:0035278, GO:0009617, GO:0007605"
mir34a,MIR34A,"GO:0071230, GO:0006974, GO:0071456, GO:1990830, GO:0071356, GO:0042632, GO:0030317, GO:0035195, GO:0042552, GO:1900222, GO:0016525, GO:0050859, GO:0090281, GO:0032682, GO:0010629, GO:1902532, GO:0071659, GO:0110114, GO:0035359, GO:0051898, GO:0071901, GO:0071672, GO:1903671, GO:0034763, GO:1904753, GO:1904706, GO:1905563, GO:1904046, GO:0061044, GO:0001503, GO:0110058, GO:0010666, GO:2000774, GO:1905205, GO:0010628, GO:2000108, GO:0010884, GO:1901985, GO:0051152, GO:2000738, GO:0097468, GO:0051726, GO:0048678, GO:0070482, GO:0007605, GO:0070328, GO:0033209"
mir34b,MIR34B,"GO:1990830, GO:0060271, GO:1990403, GO:0035195, GO:0035279, GO:0044458, GO:0035264, GO:0008285, GO:0010629, GO:0051898, GO:1903671, GO:0032410, GO:1905700, GO:0001503, GO:1903244, GO:1905205, GO:0009791, GO:0007283"
mir34c,MIR34C,"GO:1904322, GO:1990830, GO:1990403, GO:0035195, GO:0044458, GO:0035264, GO:0008285, GO:0010629, GO:0051898, GO:1903671, GO:0001503, GO:1903244, GO:1905205, GO:0009791, GO:0016441, GO:0007605, GO:0007283"
mir374b,MIR374B,"GO:1990830, GO:0060291, GO:0035195, GO:0009617"
mir375,MIR375,"GO:0035195, GO:0051898, GO:1903671, GO:2000353, GO:0003323"
mir410,MIR410,"GO:0071333, GO:1990830, GO:0071260, GO:0097009, GO:0060291, GO:0008152, GO:0035195, GO:1903588, GO:0090051, GO:0061178"
mir423,MIR423,"GO:0010467, GO:0006006, GO:0006629, GO:0035195, GO:0035279, GO:0051898, GO:0006468, GO:0032868, GO:0006641"
mir425,MIR425,"GO:0071230, GO:0071222, GO:0060291, GO:0035195"
mir503,MIR503,"GO:1990830, GO:0035195, GO:0035278, GO:0016525, GO:0043537, GO:1903588, GO:1902807, GO:0090051, GO:0010812, GO:0010596, GO:0001937, GO:0070373, GO:0040037, GO:0070317, GO:1904753, GO:1904706, GO:1905563, GO:1903589, GO:0003323"
mir505,MIR505,"GO:0042116, GO:0035195, GO:0016525, GO:0043537, GO:0010628"
mir574,MIR574,"GO:0071391, GO:1990830, GO:0035195, GO:2000177, GO:0070482"
mir702,MIR702,"GO:0010629, GO:2000648"
mir877,MIR877,"GO:0035195, GO:0035278, GO:0032691, GO:0001503"
mir92b,MIR92B,"GO:0071230, GO:1904322, GO:0060972, GO:0060291, GO:0035195, GO:0030336, GO:2001045, GO:1902532, GO:1905598, GO:0070482"
mirlet7d,MIRLET7D,"GO:0030509, GO:0071230, GO:0090398, GO:0007566, GO:0060291, GO:0035195, GO:0009617, GO:0070482, GO:0007605"
mmp14,MMP14,"GO:0001525, GO:0043615, GO:0060348, GO:0048754, GO:0016477, GO:0048870, GO:0071412, GO:0035988, GO:0030574, GO:0097094, GO:0048701, GO:0001958, GO:0035987, GO:0001935, GO:0022617, GO:0030198, GO:0060322, GO:0030324, GO:0008584, GO:0051895, GO:0045746, GO:0001503, GO:0001541, GO:0045579, GO:0030307, GO:0030335, GO:1905523, GO:0010831, GO:0010954, GO:0030163, GO:0016485, GO:0006508, GO:1903076, GO:0043627, GO:0009725, GO:0001666, GO:0009612, GO:1990834, GO:0006979, GO:0001501, GO:0048771, GO:0031638"
