# Input,GeneSymbol,GoTermID
adora1,ADORA1,"GO:0007193, GO:0097190, GO:0007267, GO:0050890, GO:0050965, GO:0060079, GO:0055089, GO:0001973, GO:0007186, GO:0006954, GO:0140928, GO:0050900, GO:0016042, GO:0060292, GO:0070254, GO:0002674, GO:0043066, GO:0045776, GO:0008285, GO:0042323, GO:0042321, GO:0014050, GO:0046888, GO:0050728, GO:0002686, GO:0050995, GO:1900453, GO:1900272, GO:0070256, GO:0032900, GO:0032229, GO:0051967, GO:0003085, GO:0007399, GO:0006909, GO:0045777, GO:0035306, GO:0045741, GO:0050996, GO:0043410, GO:0032244, GO:0002793, GO:0043268, GO:0003084, GO:0006612, GO:0086004, GO:0055117, GO:0003093, GO:0099509, GO:0002087, GO:0051930, GO:0010996, GO:0001666, GO:0014074, GO:0007165, GO:0001659, GO:0070328, GO:0042310, GO:0042311"
adora2a,ADORA2A,"GO:0007189, GO:0007188, GO:0006915, GO:0097190, GO:0048143, GO:0008015, GO:0007596, GO:0007267, GO:0006968, GO:0007417, GO:0042755, GO:0060079, GO:0001973, GO:0007186, GO:0060047, GO:0006954, GO:0140928, GO:0060080, GO:0007626, GO:0051899, GO:0046636, GO:0008285, GO:0050728, GO:0043524, GO:0006469, GO:0043116, GO:0048812, GO:0006909, GO:0007200, GO:0014057, GO:2001235, GO:0045938, GO:0070374, GO:0014049, GO:1900273, GO:0050714, GO:0032230, GO:0051968, GO:0035810, GO:0060134, GO:0099171, GO:0051924, GO:0060784, GO:0006355, GO:0051881, GO:0014061, GO:0061469, GO:0043279, GO:0001975, GO:0031000, GO:0014074, GO:0009410, GO:0007600, GO:0007271, GO:0001963, GO:0035249, GO:0042311"
adora2b,ADORA2B,"GO:0007190, GO:0007189, GO:0019934, GO:0098508, GO:0001973, GO:0007186, GO:0043303, GO:0008285, GO:0032966, GO:0043950, GO:0033605, GO:0008284, GO:0010753, GO:0032722, GO:0002882, GO:0010595, GO:0001938, GO:0031284, GO:0032755, GO:0043306, GO:0010701, GO:0010893, GO:0010575, GO:0099171, GO:0010906, GO:1901532, GO:1902036, GO:0060087, GO:1990776, GO:0007165, GO:0042311"
adra1a,ADRA1A,"GO:0071880, GO:0071875, GO:0007512, GO:0006915, GO:0060402, GO:0007267, GO:0061049, GO:0007186, GO:0035556, GO:0000165, GO:0010507, GO:0008285, GO:0001985, GO:0035024, GO:0150099, GO:0001994, GO:0035265, GO:0071882, GO:0007200, GO:0097195, GO:0045760, GO:0060452, GO:0010613, GO:0007204, GO:0070374, GO:0010460, GO:0001996, GO:0043410, GO:0090037, GO:0045987, GO:0032230, GO:0003084, GO:0001997, GO:0045907, GO:0099171, GO:0008217, GO:0055117, GO:0019229, GO:0042220, GO:0009725, GO:0009410, GO:0007165, GO:0006939"
adra1b,ADRA1B,"GO:0071880, GO:0007188, GO:0071875, GO:0007512, GO:0048148, GO:0001974, GO:0007267, GO:0061049, GO:0042593, GO:0005980, GO:0007186, GO:0035556, GO:0007626, GO:0045818, GO:0035024, GO:0150099, GO:0035265, GO:0007200, GO:0007204, GO:0045819, GO:0001996, GO:0043410, GO:0001997, GO:0008217, GO:0055117, GO:0019229, GO:0001975, GO:0043627, GO:0009725, GO:0043278, GO:0048545, GO:0009410, GO:0001987, GO:0008542"
adra2a,ADRA2A,"GO:0030036, GO:0032147, GO:0032148, GO:0071880, GO:0007189, GO:0071881, GO:0007193, GO:0071875, GO:0032870, GO:0006260, GO:0042596, GO:0007565, GO:0042593, GO:0007186, GO:0050892, GO:0045955, GO:1901020, GO:0051926, GO:0032811, GO:0046676, GO:0061179, GO:0050995, GO:0010700, GO:0070473, GO:0071882, GO:0030168, GO:0030335, GO:0008284, GO:0001819, GO:0045742, GO:0043410, GO:0043406, GO:0051044, GO:0043268, GO:0090303, GO:0099171, GO:0007265, GO:0035624, GO:0006940, GO:0019229, GO:0097305, GO:0043278, GO:0007266, GO:0007165, GO:0050955, GO:0042311"
adra2b,ADRA2B,"GO:0032148, GO:0071880, GO:0071881, GO:0071875, GO:0001525, GO:0007267, GO:0007565, GO:0007186, GO:0000165, GO:0032811, GO:0010700, GO:0030168, GO:0045777, GO:0043410, GO:0045666, GO:0070474, GO:0035624, GO:0006940, GO:0003056, GO:0019229, GO:0007165"
adra2c,ADRA2C,"GO:0032148, GO:0071880, GO:0071881, GO:0071875, GO:0007267, GO:0007565, GO:0007186, GO:0032811, GO:0046676, GO:0010700, GO:0070473, GO:0030168, GO:0043410, GO:0045666, GO:0045907, GO:0035624, GO:0006940, GO:0019229, GO:0007165"
adrb2,ADRB2,"GO:0007171, GO:0071880, GO:0007189, GO:0007188, GO:0071875, GO:0098990, GO:0008306, GO:0097746, GO:0045453, GO:0050873, GO:0007166, GO:1904646, GO:0071456, GO:0002086, GO:0002024, GO:0008333, GO:0044849, GO:0060079, GO:0007565, GO:0007186, GO:0031649, GO:0001889, GO:0097421, GO:0016525, GO:0045744, GO:0032715, GO:0040015, GO:0030279, GO:0045986, GO:0032720, GO:0035811, GO:0002025, GO:2000969, GO:0043065, GO:0032781, GO:1901098, GO:0030501, GO:1905665, GO:0008284, GO:0120162, GO:1904504, GO:0043410, GO:0061885, GO:0043268, GO:0010739, GO:0071902, GO:0048633, GO:0010765, GO:0003059, GO:0045944, GO:0099171, GO:0006898, GO:0051924, GO:0006940, GO:0002028, GO:0001993, GO:0071869, GO:0009409, GO:0071548, GO:0043627, GO:0001666, GO:0071867, GO:0032570, GO:1990911, GO:0033574, GO:0006939, GO:0035249, GO:0006366, GO:0042311"
aff4,AFF4,"GO:0010468, GO:0034976, GO:0007286"
